X,Y,item,pagerank, chosen 
-39.540257,4.2980704,drainage,0.00045911395322426757,1.0
-6.0157537,-9.442715,civil engineering,0.002241415995808256,1.0
26.297947,-1.348774,risk assessment,0.00031906460707249555,1.0
1.2248912,45.45365,acoustics,0.0008098787876450116,1.0
11.105248,-5.3194127,reliability engineering,0.0003260969540598425,1.0
-13.722132,-21.146727,macro-engineering,0.0004520406416120511,1.0
12.600117,-51.10905,emergency management,0.00034175771058304205,1.0
-4.895668,50.35423,acoustic wave,0.000473317152032714,1.0
39.844208,-3.6564057,risk analysis (engineering),0.0013713579647085343,1.0
-60.764755,-11.837515,agroecology,0.0008498407319641561,1.0
-28.814789,-32.243473,green building,0.00024360727560705157,1.0
34.50657,5.182688,security risk,0.00033182607987121497,1.0
60.101204,6.0556674,road safety,0.0004291450134449666,1.0
17.528942,-21.367416,global catastrophic risk,0.0005419111316798643,1.0
-39.825985,-13.462309,land improvement,0.002772076215677855,1.0
-13.142473,58.77284,surface wave,0.0005247733912214931,1.0
57.40737,-4.532681,air safety,0.0023699443023690947,1.0
12.956009,16.77689,forecasting,0.00048224719192789214,1.0
-13.99695,33.321125,seismology,0.00026812824887263747,1.0
1.648217,-44.62864,standard emergency warning signal,0.0011223236381713176,0.0
1.6688266,-6.694569,architectural engineering,0.00042482343398528695,1.0
-11.039541,7.171676,finite element method,0.00024477175271090496,1.0
-20.24088,-11.659589,environmental engineering,0.0008563391312416485,1.0
0.10724607,-2.2918868,structural engineering,0.00011324603179692298,0.0
39.138012,-18.586617,information security,0.0010813750130564818,1.0
-31.840004,2.3550522,water supply network,0.0012432527662675358,1.0
-19.426882,-0.5946405,geotechnical engineering,0.000971420073607508,0.0
-5.2644176,-39.1612,fallout shelter,0.0005307605239265066,0.0
32.98792,-36.555065,customer service,0.0004046267704550665,1.0
-24.667925,-29.46338,natural building,0.0027796575856057445,0.0
13.033999,-35.579456,industrial antiterrorism,0.00012015739281559014,1.0
-2.3043072,26.022669,earthquake engineering,0.0010009383009703474,0.0
18.592518,7.7791924,environmental impact assessment,0.0004485179116777696,0.0
-0.022896376,-37.68982,civil protection,0.0006328818412847582,0.0
4.323217,-24.299715,nuclear safety,0.00030778792249442353,1.0
45.373734,40.693638,potemkin village,0.000988881015279219,0.0
27.480581,-52.54401,search and rescue,0.000112172888172833,0.0
20.650251,11.884536,cost-benefit analysis,0.0002097827933156151,0.0
-41.827377,-25.17076,nimby,0.0003614923480288397,1.0
-13.696497,-34.27574,underground living,0.00104521725135782,0.0
-33.119152,-26.061693,land recycling,0.0002820616888652344,0.0
2.299031,-28.024248,nuclear terrorism,0.00019977663406670892,0.0
-1.4874797,-30.431091,weapon of mass destruction,0.00028433820861982316,0.0
14.884101,29.144016,type i and type ii errors,0.0006958628952912978,0.0
42.21867,2.247638,financial risk,0.0012538599095876812,0.0
-30.046661,9.221781,hydrogeology,0.0006952521343700348,0.0
18.069828,49.661793,pentagram,0.00011588278785808765,1.0
13.714863,-50.09629,emergency prevention,0.001368506107370012,0.0
0.9411154,-39.115696,civil defense,0.00029241110703764076,0.0
34.783268,-13.900002,information assurance,0.00029445046579957266,0.0
-38.292015,21.834995,offshore geotechnical engineering,0.0016602792485258075,0.0
-4.973151,69.19926,sky wave,0.0001653072010896332,0.0
12.02896,38.509884,dowsing,0.0001653072010896332,1.0
-48.532993,-29.737288,landfill,0.0001653072010896332,0.0
33.06467,-48.587734,personal locator beacon,0.0001653072010896332,0.0
29.510511,15.146573,optimism bias,0.0001653072010896332,0.0
29.647875,-52.02827,maritime search and rescue,0.0001653072010896332,0.0
46.910973,-16.64558,reproducibility,0.0001653072010896332,0.0
52.819862,30.671885,building restoration,0.0001653072010896332,0.0
34.55477,-50.323338,emergency position-indicating radiobeacon station,0.0006826112812875325,0.0
-3.0943482,63.403713,waveguide (electromagnetism),0.000563771065726103,0.0
-6.139789,-43.68622,continuity of government,0.00013048758432830372,0.0
-14.795053,49.35592,ocean surface wave,0.00021992565609925803,0.0
10.854348,-19.27458,there are unknown unknowns,0.00021992565609925803,0.0
-17.725525,-0.46665266,geotechnics,0.00013048758432830372,0.0
3.7930362,-48.942394,weather radio,0.00013048758432830372,0.0
-56.774452,-4.4901795,soil science,0.00013048758432830372,0.0
32.204193,-59.21108,combat search and rescue,0.00013048758432830372,0.0
-1.792651,-62.784748,public health emergency (united states),0.00021992730033427928,0.0
18.165712,-37.6245,infrastructure security,0.0002884115697424908,0.0
20.853075,4.562857,health impact assessment,0.0001989734979715365,0.0
44.63139,46.582066,the truman show,0.00013048758432830372,0.0
-10.53843,48.856087,freak wave,0.0003161411131724571,0.0
-48.10487,1.9554086,soil,0.0003025608035559575,0.0
17.561096,-5.5840254,hazard analysis,0.00013090645373625158,0.0
19.089525,-3.2131753,safety engineering,0.00013034255605464453,0.0
-43.08651,9.479603,sediment,0.0001369515339185628,0.0
1.4322056,-58.31041,federal emergency management agency,0.0001369515339185628,0.0
32.26565,-1.3611561,iso 31000,0.0001369515339185628,0.0
-18.520777,50.159843,dispersion (water waves),0.0001369515339185628,0.0
-31.737272,-12.909351,land reclamation,0.0001369515339185628,0.0
-26.424765,-11.372128,offshore construction,0.0001369515339185628,0.0
35.54569,-25.184546,proactive cyber defence,0.0001369515339185628,0.0
55.05049,-16.031107,median lethal dose,0.00014600847084664633,0.0
9.599287,30.565037,earthquake prediction,0.00014600847084664633,0.0
15.425493,27.77334,binary classification,0.00014600847084664633,0.0
5.7096963,2.5356624,failure analysis,0.00014600847084664633,0.0
-2.846355,-45.50903,public warning system (singapore),0.0009189866233693944,0.0
17.31773,-8.745534,hazard analysis and critical control points,0.0013071788136724246,0.0
0.6485985,-11.893132,engineering drawing,0.0007713373369706251,0.0
9.975354,0.26396543,nondestructive testing,0.0009164267365287271,0.0
53.105755,-21.889614,hardness,0.00040372510588878967,0.0
-8.612201,71.65911,near and far field,0.0002648895078358346,0.0
4.457683,-34.39885,nuclear warfare,0.00011636179564563214,0.0
-26.396914,26.531248,geological history of earth,0.00031788756075563874,0.0
-32.851887,-5.013317,stormwater,0.0003030689497249097,0.0
-13.004213,-0.22619836,retaining wall,0.0003030689497249097,0.0
-33.581802,26.472712,seabed,0.0004515839436428315,0.0
0.09402294,-48.820873,wireless emergency alerts,0.0005993313119438172,0.0
-4.2751713,19.479559,vibration isolation,0.00015310447315329163,0.0
17.677172,-47.838146,digital humanitarianism,0.0006452142913060269,0.0
